date,rho,psi,omega,rho_norm,psi_norm,omega_norm,stress,pi
2017-01-04,0.66,0.49,12091.5256,0.3,0.7858861267040903,0.9320722474043952,0.219750794496305,0.0006020569712227534
2017-01-11,0.66,0.51,12099.09,0.3,0.8179631114675225,0.9326553472994379,0.2288633009411613,0.001229079713527305
2017-01-18,0.66,0.51,12107.5436,0.3,0.8179631114675225,0.933306990955608,0.229023207082932,0.0018565405548504063
2017-01-25,0.66,0.55,12112.2375,0.3,0.8821170809943871,0.9336688190711677,0.2470815639883605,0.0025334763465993393
2017-02-01,0.66,0.53,12127.6088,0.3,0.8500400962309549,0.9348537119135174,0.23839894177104953,0.0031866241322734477
2017-02-08,0.66,0.5,12133.9666,0.3,0.8019246190858065,0.9353438013472731,0.22502256648290467,0.003803124314418392
2017-02-15,0.66,0.51,12151.5865,0.3,0.8179631114675225,0.9367020269620823,0.229856311347552,0.004432867633178808
2017-02-22,0.66,0.53,12156.4922,0.3,0.8500400962309549,0.9370801816280322,0.23896671833016397,0.005087570971069669
2017-03-01,0.66,0.47,12165.409,0.3,0.753809141940658,0.9377675309411457,0.21206932135156634,0.005668582810389029
2017-03-08,0.66,0.39,12155.439,0.3,0.625501202886929,0.9369989959676415,0.17582819972448133,0.006150303905524594
2017-03-15,0.66,0.43,12172.8891,0.3,0.6896551724137935,0.9383441325916281,0.19414016536378523,0.006682194769534964
2017-03-22,0.91,0.4,12172.269,0.41363636363636364,0.6415396952686452,0.9382963323371577,0.24899020556296977,0.0073643597162828265
2017-03-29,0.91,0.38,12157.7322,0.41363636363636364,0.609462710505213,0.9371757667200227,0.23625820524297156,0.00801164247037316
2017-04-05,0.91,0.36,12192.4242,0.41363636363636364,0.5773857257417806,0.9398499909227116,0.2244622417629806,0.008626607516299133
2017-04-12,0.91,0.36,12192.7944,0.41363636363636364,0.5773857257417806,0.9398785276977559,0.22446905713624338,0.009241591234480623
2017-04-19,0.91,0.36,12198.8668,0.41363636363636364,0.5773857257417806,0.9403466171434035,0.22458084987692584,0.009856881234143433
2017-04-26,0.91,0.35,12196.7458,0.41363636363636364,0.5613472333600644,0.9401831203852489,0.21830453003040162,0.010454975836966451
2017-05-03,0.91,0.33,12213.7214,0.41363636363636364,0.5292702485966323,0.9414916802945987,0.20611646248630763,0.011019678473915238
2017-05-10,0.91,0.29,12225.443,0.41363636363636364,0.4651162790697677,0.9423952369190146,0.18130648321274923,0.011516408564909071
2017-05-17,0.91,0.29,12241.5194,0.41363636363636364,0.4651162790697677,0.9436344822197211,0.18154490038476676,0.01201379185363446
2017-05-24,0.91,0.28,12257.6332,0.41363636363636364,0.44907778668805165,0.9448766104901377,0.17551546282196345,0.01249465613533847
2017-05-31,0.83,0.25,12255.5923,0.3772727272727272,0.40096230954290324,0.9447192882205866,0.142909712259074,0.012886189593582507
2017-06-07,0.91,0.24,12239.4213,0.41363636363636364,0.38492381716118707,0.9434727507023782,0.15021830484318693,0.013297746593152882
2017-06-14,0.91,0.26,12246.8113,0.41363636363636364,0.41700080192461936,0.9440424070167409,0.1628347550485974,0.01374386920972438
2017-06-21,1.16,0.32,12254.2208,0.5272727272727272,0.5132317562149161,0.9446135664837599,0.25562481291738126,0.014444211162922686
2017-06-28,1.16,0.3,12249.9791,0.5272727272727272,0.48115477145148383,0.944286596092876,0.23956530979100457,0.01510055447741859
2017-07-05,1.16,0.27,12266.4978,0.5272727272727272,0.4330392943063355,0.9455599359792174,0.21589952026586792,0.01569206001239357
2017-07-12,1.16,0.27,12284.1168,0.5272727272727272,0.4330392943063355,0.9469180922177501,0.21620962782138914,0.016284415157109704
2017-07-19,1.16,0.22,12296.6114,0.5272727272727272,0.35284683239775483,0.947881235355157,0.17634999727537815,0.016767565834576493
2017-07-26,1.16,0.2,12301.6713,0.5272727272727272,0.3207698476343226,0.9482712764898044,0.16038414824351882,0.0172069744599012
2017-08-02,1.16,0.25,12313.1918,0.5272727272727272,0.40096230954290324,0.9491593313706725,0.20066793475067085,0.01775674962360167
2017-08-09,1.16,0.27,12315.0448,0.5272727272727272,0.4330392943063355,0.949302169415397,0.21675398371429794,0.018350596154325775
2017-08-16,1.16,0.32,12315.7796,0.5272727272727272,0.5132317562149161,0.9493588112908765,0.25690893836201323,0.019054456259427182
2017-08-23,1.16,0.34,12336.9051,0.5272727272727272,0.5453087409783484,0.950987265210913,0.27343397054690116,0.019803590425309103
2017-08-30,1.16,0.31,12333.8715,0.5272727272727272,0.4971932638332,0.9507534209084434,0.24924613994217135,0.02048645656213697
2017-09-06,1.16,0.27,12348.6612,0.5272727272727272,0.4330392943063355,0.9518934812592594,0.2173456574545456,0.02108192411680696
2017-09-13,1.16,0.3,12342.8069,0.5272727272727272,0.48115477145148383,0.9514422039979368,0.241380686003705,0.021743241064762314
2017-09-20,1.16,0.3,12397.5858,0.5272727272727272,0.48115477145148383,0.9556648218976451,0.24245196327212992,0.022407493018932533
2017-09-27,1.16,0.28,12398.166,0.5272727272727272,0.44907778668805165,0.9557095464705264,0.2262990892276935,0.02302749052366594
2017-10-04,1.16,0.29,12416.6115,0.5272727272727272,0.4651162790697677,0.9571314132562609,0.23472990261675755,0.023670586147273496
2017-10-11,1.16,0.28,12438.9887,0.5272727272727272,0.44907778668805165,0.9588563541598817,0.2270442107101624,0.024292625080725997
2017-10-18,1.16,0.29,12452.2146,0.5272727272727272,0.4651162790697677,0.9598758693761373,0.2354029616229006,0.024937564701610657
2017-10-25,1.16,0.27,12450.949,0.5272727272727272,0.4330392943063355,0.9597783109145058,0.2191459991094433,0.025537964699170777
2017-11-01,1.16,0.22,12461.9183,0.5272727272727272,0.35284683239775483,0.9606238766802891,0.1787207212428446,0.02602761051079501
2017-11-08,1.16,0.2,12472.1243,0.5272727272727272,0.3207698476343226,0.9614106036551723,0.16260644459284107,0.02647310761926855
2017-11-15,1.16,0.19,12473.3925,0.5272727272727272,0.3047313552526065,0.961508362537158,0.15449182992140392,0.02689637290672445
2017-11-22,1.16,0.19,12485.2791,0.5272727272727272,0.3047313552526065,0.9624246381455889,0.1546390539092279,0.02732004154757165
2017-11-29,1.16,0.21,12524.5174,0.5272727272727272,0.3368083400160387,0.9654493127545007,0.17145400057373808,0.027789778535444905
2017-12-06,1.16,0.24,12540.2775,0.5272727272727272,0.38492381716118707,0.9666641761482745,0.1961939976960558,0.02832729633735191
2017-12-13,1.17,0.31,12533.4378,0.5318181818181817,0.4971932638332,0.9661369395727201,0.2554624684574074,0.02902719351120782
2017-12-20,1.42,0.3,12543.3337,0.6454545454545454,0.48115477145148383,0.9668997625661303,0.30028380757685474,0.029849888874432077
2017-12-27,1.42,0.27,12567.937,0.6454545454545454,0.4330392943063355,0.9687963018352996,0.27078552316370497,0.030591767020086064
2018-01-03,1.42,0.31,12565.5385,0.6454545454545454,0.4971932638332,0.9686114140585744,0.3108425635843003,0.03144339048196086
2018-01-10,1.42,0.31,12562.5932,0.6454545454545454,0.4971932638332,0.9683843763396714,0.3107697036266849,0.032294814327513424
2018-01-17,1.42,0.32,12570.4123,0.6454545454545454,0.5132317562149161,0.968987109720948,0.32099419891900494,0.03317425048893535
2018-01-24,1.42,0.34,12573.2215,0.6454545454545454,0.5453087409783484,0.9692036562051575,0.34113255465178266,0.03410886022770736
2018-01-31,1.34,0.34,12578.5406,0.6090909090909091,0.5453087409783484,0.9696136777074209,0.3220500047849393,0.03499118900794007
