Date,rho,psi,omega,rho_norm,psi_norm,omega_norm,stress,pi
2019-07-01,0.0,14.0600004196167,3.99,0.0,0.6491707695744395,0.8827433628318585,0.0,0.0
2019-07-02,0.0,12.930000305175781,4.04,0.0,0.5969970126741667,0.8938053097345133,0.0,0.0
2019-07-03,0.0,12.569999694824219,4.02,0.0,0.580375258314677,0.8893805309734513,0.0,0.0
2019-07-05,0.0,13.279999732971191,3.98,0.0,0.6131569978172364,0.8805309734513275,0.0,0.0
2019-07-08,0.0,13.960000038146973,4.0,0.0,0.6445536058006842,0.8849557522123894,0.0,0.0
2019-07-09,0.0,14.09000015258789,4.03,0.0,0.6505559010935513,0.8915929203539824,0.0,0.0
2019-07-10,0.0,13.029999732971191,4.01,0.0,0.6016141324153851,0.8871681415929203,0.0,0.0
2019-07-11,0.0,12.930000305175781,4.0,0.0,0.5969970126741667,0.8849557522123894,0.0,0.0
2019-07-12,0.0,12.390000343322754,4.02,0.0,0.5720644251674691,0.8893805309734513,0.0,0.0
2019-07-15,0.0,12.680000305175781,4.0,0.0,0.5854541472723154,0.8849557522123894,0.0,0.0
2019-07-16,0.0,12.859999656677246,3.96,0.0,0.5937649804195231,0.8761061946902655,0.0,0.0
2019-07-17,0.0,13.970000267028809,4.01,0.0,0.6450153309845671,0.8871681415929203,0.0,0.0
2019-07-18,0.0,13.529999732971191,4.11,0.0,0.6246998632190879,0.9092920353982302,0.0,0.0
2019-07-19,0.0,14.449999809265137,4.07,0.0,0.667177611420504,0.9004424778761063,0.0,0.0
2019-07-22,0.0,13.529999732971191,4.06,0.0,0.6246998632190879,0.8982300884955752,0.0,0.0
2019-07-23,0.0,12.609999656677246,3.99,0.0,0.5822221150176717,0.8827433628318585,0.0,0.0
2019-07-24,0.0,12.069999694824219,3.98,0.0,0.5572895275109742,0.8805309734513275,0.0,0.0
2019-07-25,0.0,12.739999771118164,3.93,0.0,0.588224410310539,0.8694690265486726,0.0,0.0
2019-07-26,0.0,12.15999984741211,3.89,0.0,0.5614449661008466,0.8606194690265487,0.0,0.0
2019-07-29,0.0,12.829999923706055,3.93,0.0,0.5923798489004114,0.8694690265486726,0.0,0.0
2019-07-30,0.0,13.9399995803833,3.97,0.0,0.6436301554329182,0.8783185840707965,0.0,0.0
2019-07-31,0.0,16.1200008392334,3.93,0.0,0.7442839998600115,0.8694690265486726,0.0,0.0
2019-08-01,0.0,17.8700008392334,4.1,0.0,0.8250840576729713,0.9070796460176991,0.0,0.0
2019-08-02,0.0,17.610000610351562,4.19,0.0,0.813079467087237,0.926991150442478,0.0,0.0
2019-08-05,0.0,24.59000015258789,4.53,0.0,1.1353562479713106,1.002212389380531,0.0,0.0
2019-08-06,0.0,20.170000076293945,4.46,0.0,0.9312783841439747,0.9867256637168142,0.0,0.0
2019-08-07,0.0,19.489999771118164,4.52,0.0,0.8998817761605269,1.0,0.0,0.0
2019-08-08,0.0,16.90999984741211,4.31,0.0,0.7807594087360233,0.9535398230088495,0.0,0.0
2019-08-09,0.0,17.969999313354492,4.31,0.0,0.8297011333816526,0.9535398230088495,0.0,0.0
2019-08-12,0.0,21.09000015258789,4.4,0.0,0.9737561323453908,0.9734513274336285,0.0,0.0
2019-08-13,0.0,17.520000457763672,4.25,0.0,0.8089240284973646,0.9402654867256638,0.0,0.0
2019-08-14,0.0,22.100000381469727,4.49,0.0,1.0203893191366793,0.9933628318584072,0.0,0.0
2019-08-15,0.0,21.18000030517578,4.52,0.0,0.9779115709352633,1.0,0.0,0.0
2019-08-16,0.0,18.469999313354492,4.47,0.0,0.8527868641853554,0.9889380530973452,0.0,0.0
2019-08-19,0.0,16.8799991607666,4.36,0.0,0.7793742331843745,0.9646017699115046,0.0,0.0
2019-08-20,0.0,17.5,4.35,0.0,0.8080005781295986,0.9623893805309734,0.0,0.0
2019-08-21,0.0,15.800000190734863,4.21,0.0,0.7295091022035165,0.9314159292035399,0.0,0.0
2019-08-22,0.0,16.68000030517578,4.16,0.0,0.7701399937019379,0.920353982300885,0.0,0.0
2019-08-23,0.0,19.8700008392334,4.25,0.0,0.9174269808877826,0.9402654867256638,0.0,0.0
2019-08-26,0.0,19.31999969482422,4.22,0.0,0.892032624164665,0.9336283185840708,0.0,0.0
2019-08-27,0.0,20.309999465942383,4.19,0.0,0.9377423605881877,0.926991150442478,0.0,0.0
2019-08-28,0.0,19.350000381469727,4.17,0.0,0.8934177997163139,0.922566371681416,0.0,0.0
