Case,Combination_id,Event_date,Preloaded_cutoff,Ductile_lead_cutoff_days,Onset_fraction,Nearest_observation_date,Pi_at_event,Pi_final,Pct_of_max,First_crossing_date,Lead_days,Label,Baseline_label,Retains_baseline_label
2008 Financial,35,2008-09-15,0.75,350,0.15,2008-09-15,0.6279875138,1.2578919304,49.9238049501,2007-08-22,390,Ductile,Ductile,Yes
2008 Financial,36,2008-09-15,0.75,350,0.2,2008-09-15,0.6279875138,1.2578919304,49.9238049501,2007-09-20,361,Ductile,Ductile,Yes
2008 Financial,37,2008-09-15,0.75,400,0.05,2008-09-15,0.6279875138,1.2578919304,49.9238049501,2007-04-25,509,Ductile,Ductile,Yes
2008 Financial,38,2008-09-15,0.75,400,0.1,2008-09-15,0.6279875138,1.2578919304,49.9238049501,2007-08-16,396,Brittle,Ductile,No
2008 Financial,39,2008-09-15,0.75,400,0.15,2008-09-15,0.6279875138,1.2578919304,49.9238049501,2007-08-22,390,Brittle,Ductile,No
2008 Financial,40,2008-09-15,0.75,400,0.2,2008-09-15,0.6279875138,1.2578919304,49.9238049501,2007-09-20,361,Brittle,Ductile,No
2008 Financial,41,2008-09-15,0.8,200,0.05,2008-09-15,0.6279875138,1.2578919304,49.9238049501,2007-04-25,509,Ductile,Ductile,Yes
2008 Financial,42,2008-09-15,0.8,200,0.1,2008-09-15,0.6279875138,1.2578919304,49.9238049501,2007-08-16,396,Ductile,Ductile,Yes
2008 Financial,43,2008-09-15,0.8,200,0.15,2008-09-15,0.6279875138,1.2578919304,49.9238049501,2007-08-22,390,Ductile,Ductile,Yes
2008 Financial,44,2008-09-15,0.8,200,0.2,2008-09-15,0.6279875138,1.2578919304,49.9238049501,2007-09-20,361,Ductile,Ductile,Yes
2008 Financial,45,2008-09-15,0.8,250,0.05,2008-09-15,0.6279875138,1.2578919304,49.9238049501,2007-04-25,509,Ductile,Ductile,Yes
2008 Financial,46,2008-09-15,0.8,250,0.1,2008-09-15,0.6279875138,1.2578919304,49.9238049501,2007-08-16,396,Ductile,Ductile,Yes
2008 Financial,47,2008-09-15,0.8,250,0.15,2008-09-15,0.6279875138,1.2578919304,49.9238049501,2007-08-22,390,Ductile,Ductile,Yes
2008 Financial,48,2008-09-15,0.8,250,0.2,2008-09-15,0.6279875138,1.2578919304,49.9238049501,2007-09-20,361,Ductile,Ductile,Yes
2008 Financial,49,2008-09-15,0.8,300,0.05,2008-09-15,0.6279875138,1.2578919304,49.9238049501,2007-04-25,509,Ductile,Ductile,Yes
2008 Financial,50,2008-09-15,0.8,300,0.1,2008-09-15,0.6279875138,1.2578919304,49.9238049501,2007-08-16,396,Ductile,Ductile,Yes
2008 Financial,51,2008-09-15,0.8,300,0.15,2008-09-15,0.6279875138,1.2578919304,49.9238049501,2007-08-22,390,Ductile,Ductile,Yes
2008 Financial,52,2008-09-15,0.8,300,0.2,2008-09-15,0.6279875138,1.2578919304,49.9238049501,2007-09-20,361,Ductile,Ductile,Yes
2008 Financial,53,2008-09-15,0.8,350,0.05,2008-09-15,0.6279875138,1.2578919304,49.9238049501,2007-04-25,509,Ductile,Ductile,Yes
2008 Financial,54,2008-09-15,0.8,350,0.1,2008-09-15,0.6279875138,1.2578919304,49.9238049501,2007-08-16,396,Ductile,Ductile,Yes
2008 Financial,55,2008-09-15,0.8,350,0.15,2008-09-15,0.6279875138,1.2578919304,49.9238049501,2007-08-22,390,Ductile,Ductile,Yes
2008 Financial,56,2008-09-15,0.8,350,0.2,2008-09-15,0.6279875138,1.2578919304,49.9238049501,2007-09-20,361,Ductile,Ductile,Yes
2008 Financial,57,2008-09-15,0.8,400,0.05,2008-09-15,0.6279875138,1.2578919304,49.9238049501,2007-04-25,509,Ductile,Ductile,Yes
2008 Financial,58,2008-09-15,0.8,400,0.1,2008-09-15,0.6279875138,1.2578919304,49.9238049501,2007-08-16,396,Brittle,Ductile,No
2008 Financial,59,2008-09-15,0.8,400,0.15,2008-09-15,0.6279875138,1.2578919304,49.9238049501,2007-08-22,390,Brittle,Ductile,No
2008 Financial,60,2008-09-15,0.8,400,0.2,2008-09-15,0.6279875138,1.2578919304,49.9238049501,2007-09-20,361,Brittle,Ductile,No
2008 Financial,61,2008-09-15,0.85,200,0.05,2008-09-15,0.6279875138,1.2578919304,49.9238049501,2007-04-25,509,Ductile,Ductile,Yes
2008 Financial,62,2008-09-15,0.85,200,0.1,2008-09-15,0.6279875138,1.2578919304,49.9238049501,2007-08-16,396,Ductile,Ductile,Yes
2008 Financial,63,2008-09-15,0.85,200,0.15,2008-09-15,0.6279875138,1.2578919304,49.9238049501,2007-08-22,390,Ductile,Ductile,Yes
2008 Financial,64,2008-09-15,0.85,200,0.2,2008-09-15,0.6279875138,1.2578919304,49.9238049501,2007-09-20,361,Ductile,Ductile,Yes
2008 Financial,65,2008-09-15,0.85,250,0.05,2008-09-15,0.6279875138,1.2578919304,49.9238049501,2007-04-25,509,Ductile,Ductile,Yes
2008 Financial,66,2008-09-15,0.85,250,0.1,2008-09-15,0.6279875138,1.2578919304,49.9238049501,2007-08-16,396,Ductile,Ductile,Yes
