Case,N,Pi_actual,Pi_shuffled_mean,Pi_shuffled_std,z_score,Monte_Carlo_p,Exceedances,B,Seed,Case_seed_index,Unadjusted_p_lt_0_05
2008 Financial,990,1.257892,0.55319,0.05452,12.93,9.999000099990002e-05,0,10000,42,0,Yes
Terra-Luna,396,0.077564,0.05915,0.003352,5.49,9.999000099990002e-05,0,10000,42,1,Yes
Fukushima,321,0.119675,0.100054,0.004919,3.99,0.0010998900109989002,10,10000,42,2,Yes
COVID-19,210,22.915419,6.435776,0.928436,17.75,9.999000099990002e-05,0,10000,42,3,Yes
Supply Chain,47,0.260594,0.221668,0.102362,0.38,0.26447355264473554,2644,10000,42,4,No
