name,domain,pi_crisis,pi_control,separation,stress_max,n_crisis,n_control
2008 Financial,Traditional Finance,1.25789193037,0.067707538224,18.5783143704,30.5784262323,990,574
Terra-Luna,Digital Assets,0.0775641972275,0.0400105404295,1.93859409033,2.84499338859,396,215
Fukushima,Physical Infrastructure,0.119674840705,0.041493293089,2.88419722312,4.60415073724,321,177
COVID-19,Pandemic / Public Health,22.9154186667,0.00631860199523,3626.65961299,384.638285084,210,149
Supply Chain,Global Logistics,0.260594083119,0.0282847283345,9.21324327523,0.535941850456,47,17
