date,rho,psi,omega,rho_norm,psi_norm,omega_norm,stress,pi
2011-01-01,0.052643549821144164,0.0,0.0077145612343296754,0.4607156428425808,0.0,0.8183938178384776,0.0,0.0
2011-02-01,0.03556836708636979,0.0,0.011483253588516762,0.3112803593741695,0.0,1.2181929030122236,0.0,0.0
2011-03-01,0.08327689887114098,0.0,0.011352885525071077,0.7288066653503731,0.0,1.2043628984368833,0.0,0.0
2011-04-01,0.05647526651249368,0.0,0.012160898035547207,0.49424932027587387,0.0,1.2900803389009192,0.0,0.0
2011-05-01,0.03206747271250876,2.2,0.005545286506469349,0.2806419087480771,0.23595023595023593,0.588267829781764,0.03895363948209941,0.003246136623508284
2011-06-01,0.026987498189892323,0.0,0.00367647058823517,0.2361839697268157,0.0,0.3900158038136425,0.0,0.003246136623508284
2011-07-01,0.024203910129527273,1.1,0.0009225092250922939,0.2118231018332732,0.11797511797511796,0.09786374413036834,0.002445600817522913,0.0034499366916351934
2011-08-01,0.04963237074853,0.0,0.0,0.4343629879234713,0.0,0.0,0.0,0.0034499366916351934
2011-09-01,0.05522253755104867,0.0,0.006463527239150446,0.48328592911512336,0.0,0.6856787538884518,0.0,0.0034499366916351934
2011-10-01,0.029603688616671064,0.0,0.0,0.25907983937023893,0.0,0.0,0.0,0.0034499366916351934
2011-11-01,0.02244792432601672,0.0,0.004587155963302836,0.19645540472630735,0.0,0.4866252231069554,0.0,0.0034499366916351934
2011-12-01,0.03852810036607268,0.0,0.0,0.3371827809478228,0.0,0.0,0.0,0.0034499366916351934
2012-01-01,0.010990238345209624,0.0,0.005479452054794498,0.09618224343550519,0.0,0.5812838281496652,0.0,0.0034499366916351934
2012-02-01,0.00215647716476286,1.2,0.0027247956403271267,0.018872639983712133,0.12870012870012867,0.28905803443411504,0.0007020962957882261,0.0035084447162842124
2012-03-01,0.02228562105625198,7.4,0.01086956521739113,0.19503499034469432,0.7936507936507935,1.1530902025794851,0.1784864575608345,0.018382316179687087
2012-04-01,0.014810872732028746,4.8,0.0026881720430107503,0.12961893289832044,0.5148005148005147,0.28517284579923186,0.019028983250488393,0.019968064783894453
2012-05-01,0.004765501613678502,0.0,0.0,0.0417057958073225,0.0,0.0,0.0,0.019968064783894453
2012-06-01,0.007089290433102802,0.0,0.006255585344057235,0.062042681587419754,0.0,0.6636193837901745,0.0,0.019968064783894453
