,rho,psi,omega,rho_norm,psi_norm,omega_norm,stress,pi
2005-01-05,0.28,0.07,6458.58,1.0,0.4320987654320975,0.7990732371852879,0.34527855927759254,0.0013701530130063196
2005-01-06,0.28,0.03999999999999998,6461.312814285714,1.0,0.24691358024691273,0.7994113484663918,0.19738551813984917,0.0021534288786406418
2005-01-07,0.27000000000000024,0.04999999999999999,6464.045628571429,0.9642857142857151,0.308641975308641,0.7997494597474958,0.23802067254389703,0.003097955356989439
2005-01-11,0.009999999999999787,0.04999999999999999,6474.976885714286,0.03571428571428495,0.308641975308641,0.8011019048719112,0.008830488369399156,0.003132996977502928
2005-01-12,0.009999999999999787,0.040000000000000036,6477.7097,0.03571428571428495,0.24691358024691307,0.8014400161530152,0.007067372276481449,0.0031610421055842035
2005-01-13,0.04999999999999982,0.009999999999999953,6481.942642857143,0.1785714285714279,0.06172839506172793,0.8019637274566883,0.008839988177432532,0.0031961214237486183
2005-01-14,0.04999999999999982,0.010000000000000009,6486.175585714286,0.1785714285714279,0.06172839506172827,0.8024874387603615,0.008845761009263193,0.003231223649975853
2005-01-18,0.020000000000000018,0.010000000000000009,6503.107357142857,0.07142857142857148,0.06172839506172827,0.8045822839750542,0.0035475409346342724,0.003245301193367259
2005-01-19,0.10000000000000009,0.009999999999999953,6507.3403,0.35714285714285743,0.06172839506172793,0.8051059952787273,0.01774925033683249,0.003315734726449928
2005-01-20,0.040000000000000036,0.030000000000000027,6507.092385714285,0.14285714285714296,0.18518518518518481,0.8050753226431278,0.02129828895881288,0.0034002517461277568
2005-01-21,0.03000000000000025,0.04999999999999999,6506.8444714285715,0.10714285714285803,0.308641975308641,0.8050446500075283,0.02662184689178348,0.0035058939956983263
2005-01-25,0.040000000000000036,0.030000000000000027,6505.852814285715,0.14285714285714296,0.18518518518518481,0.8049219594651305,0.021294231731881733,0.0035903949152692855
2005-01-26,0.07000000000000028,0.009999999999999953,6505.6049,0.250000000000001,0.06172839506172793,0.8048912868295309,0.012421161833789014,0.0036396852400065434
2005-01-27,0.13000000000000034,0.04999999999999999,6507.6202,0.46428571428571547,0.308641975308641,0.8051406252746535,0.11537508960064473,0.004097522897151959
2005-01-28,0.2200000000000002,0.06,6509.6355,0.7857142857142864,0.37037037037036924,0.805389963719776,0.2343727407650137,0.005027573455743283
2005-01-31,0.16999999999999993,0.08999999999999997,6515.6814,0.6071428571428569,0.5555555555555537,0.8061379790551436,0.27191161991939267,0.006106587820502778
2005-02-01,0.009999999999999787,0.06,6517.6967,0.03571428571428495,0.37037037037036924,0.8063873175002662,0.010666498908733418,0.006148915197124736
2005-02-02,0.18999999999999995,0.06,6519.712,0.6785714285714283,0.37037037037036924,0.8066366559453887,0.20272614368997793,0.006953384021291315
2005-02-03,0.010000000000000231,0.0,6519.892614285714,0.03571428571428654,0.0,0.8066590020403457,0.0,0.006953384021291315
2005-02-04,0.029999999999999805,0.010000000000000009,6520.073228571429,0.10714285714285643,0.06172839506172827,0.8066813481353028,0.005335194101423914,0.006974555426455696
2005-02-07,0.20999999999999996,0.019999999999999962,6520.615071428571,0.7499999999999998,0.1234567901234562,0.8067483864201738,0.07469892466853423,0.007270979730695911
2005-02-08,0.010000000000000231,0.009999999999999953,6520.795685714286,0.03571428571428654,0.06172839506172793,0.8067707325151309,0.0017785950893190992,0.007278037647717019
2005-02-09,0.009999999999999787,0.019999999999999962,6520.9763,0.03571428571428495,0.1234567901234562,0.8067930786100879,0.003557288706393592,0.0072921538727423905
