date,rho,psi,omega,rho_norm,psi_norm,omega_norm,stress,pi
1996-01-03,6.93,0.58,3411.1926,1.0300237812128414,0.5528021349599694,0.8055380190182309,0.4586728206545165,0.0012566378648068944
1996-01-10,5.35,0.55,3417.4229,0.795184304399524,0.5242089210827297,0.8070092767595526,0.336395930910412,0.0021782705522326805
1996-01-17,5.91,0.57,3415.6811,0.8784185493460164,0.5432710636675561,0.8065979584066909,0.38492417733660533,0.003232857339456257
1996-01-24,5.5,0.53,3417.0418,0.8174791914387631,0.5051467784979031,0.8069192816830366,0.3332148805105757,0.004145774820307149
1996-01-31,5.71,0.46,3421.9833,0.8486920332936977,0.43842927945101023,0.8080861950144558,0.3006819532260365,0.0049695609935291665
1996-02-07,5.13,0.5,3420.1732,0.7624851367419736,0.4765535646206633,0.807658747919201,0.2934749289210937,0.005773601894682848
1996-02-14,4.92,0.45,3429.035,0.7312722948870389,0.42889820815859697,0.8097514227265207,0.2539715512136584,0.0064694143637613645
1996-02-21,5.1,0.47,3439.1242,0.7580261593341258,0.4479603507434235,0.8121339426057791,0.27577280164679735,0.007224956286081358
1996-02-28,6.18,0.39,3441.5772,0.9185493460166465,0.3717117804041174,0.812713207687631,0.27748923209494863,0.007985200757574367
1996-03-06,5.08,0.39,3425.7407,0.7550535077288939,0.3717117804041174,0.8089734883770935,0.22704834666692103,0.008607251022415247
1996-03-13,5.49,0.45,3437.3716,0.8159928656361471,0.42889820815859697,0.8117200738807673,0.28408406893934285,0.009385563540057281
1996-03-20,5.21,0.42,3446.2291,0.774375743162901,0.4003049942813572,0.8138117332621385,0.2522706324920072,0.010076715957843603
1996-03-27,5.29,0.41,3451.0128,0.7862663495838285,0.39077392298894387,0.8149413828226991,0.25039268427438843,0.010762723312020009
1996-04-03,5.25,0.45,3445.2172,0.7803210463733647,0.42889820815859697,0.8135727775604158,0.2722851529632794,0.01150871003246735
1996-04-10,5.46,0.59,3458.7076,0.8115338882282993,0.5623332062523827,0.816758475750475,0.3727297342030396,0.012529887386448281
1996-04-17,5.17,0.67,3461.1878,0.7684304399524373,0.6385817765916889,0.8173441639918159,0.40107542013370956,0.013628724153937897
1996-04-24,5.57,0.48,3466.0828,0.8278834720570747,0.45749142203583676,0.8185000965542558,0.31000657345683025,0.014478057231901816
1996-05-01,5.41,0.52,3466.5105,0.8041022592152197,0.49561570720548986,0.818601096014308,0.3262335828865833,0.01537184786994725
1996-05-08,5.31,0.5,3465.6379,0.7892390011890603,0.4765535646206633,0.8183950353904091,0.3078103699531129,0.016215163952010572
1996-05-15,5.47,0.48,3469.5122,0.8130202140309153,0.45749142203583676,0.8193099341701152,0.3047421447365499,0.01705007393759016
1996-05-22,5.41,0.45,3473.9655,0.8041022592152197,0.42889820815859697,0.8203615612345306,0.2829246694080298,0.017825210018160106
1996-05-29,5.24,0.44,3464.7423,0.7788347205707489,0.4193671368661837,0.8181835434184129,0.2672332163763825,0.018557355816451564
1996-06-05,5.34,0.46,3468.6825,0.7936979785969082,0.43842927945101023,0.8191140041911456,0.2850356457384564,0.019338275393817196
1996-06-12,5.25,0.49,3480.8786,0.7803210463733647,0.46702249332825,0.8219940591706704,0.2995572241123961,0.0201589801174128
1996-06-19,6.25,0.47,3483.6008,0.9289536266349581,0.4479603507434235,0.8226368946398173,0.3423275043264465,0.021096863690909917
1996-06-26,5.18,0.47,3490.5136,0.7699167657550532,0.4479603507434235,0.8242693217322862,0.28428404693160464,0.021875724093462258
1996-07-03,5.38,0.5,3489.8075,0.7996432818073719,0.4765535646206633,0.8241025793457,0.31404312385337185,0.022736116213608482
1996-07-10,5.16,0.54,3496.318,0.7669441141498213,0.5146778497903164,0.8256400050755807,0.32590417541140526,0.02362900436542055
1996-07-17,5.25,0.54,3485.2718,0.7803210463733647,0.5146778497903164,0.8230314938863621,0.3305409360599746,0.024534595971064315
1996-07-24,5.29,0.46,3491.3676,0.7862663495838285,0.43842927945101023,0.8244709900485934,0.28421344454279956,0.02531326294241445
1996-07-31,6.75,0.5,3479.6529,1.0032699167657546,0.4765535646206633,0.8217046155462,0.39286671809239054,0.026389610115270315
1996-08-07,5.07,0.5,3495.3072,0.753567181926278,0.4765535646206633,0.8254013091339842,0.29641409573120336,0.027201703528232517
1996-08-14,5.22,0.48,3497.6501,0.7758620689655169,0.45749142203583676,0.8259545745886401,0.29317277549914245,0.028004916611791813
1996-08-21,5.09,0.49,3500.0827,0.7565398335315098,0.46702249332825,0.8265290223008753,0.2920301593412392,0.028804999240123974
1996-08-28,5.24,0.47,3497.8913,0.7788347205707489,0.4479603507434235,0.8260115328999905,0.2881847472977112,0.029594546492994415
1996-09-04,5.35,0.46,3503.2495,0.795184304399524,0.43842927945101023,0.8272768480901981,0.2884152496163172,0.030384725259066516
1996-09-11,5.26,0.46,3516.0816,0.7818073721759806,0.43842927945101023,0.8303070916518908,0.2846020725264821,0.03116445696461852
1996-09-18,4.96,0.49,3507.2966,0.7372175980975026,0.46702249332825,0.8282325528243045,0.28515814953970203,0.03194571216883688
1996-09-25,5.56,0.62,3529.4468,0.8263971462544586,0.5909264201296225,0.8334632244166554,0.4070133537008171,0.03306081724746926
