,rho,psi,omega,rho_norm,psi_norm,omega_norm,stress,pi
2004-01-09,0.020000000000000018,0.04999999999999999,5805.316342857142,0.07142857142857148,0.308641975308641,0.7182496652470843,0.015834428246187887,6.28350327229678e-05
2004-01-12,0.06000000000000005,0.010000000000000009,5805.438357142857,0.21428571428571447,0.06172839506172827,0.718264761189268,0.00950085662948766,0.00010053684474474424
2004-01-13,0.0,0.0,5805.479028571428,0.0,0.0,0.7182697931699958,0.0,0.00010053684474474424
2004-01-14,0.020000000000000018,0.010000000000000009,5805.5197,0.07142857142857148,0.06172839506172827,0.7182748251507237,0.0031669965835569784,0.00011310429150489098
2004-01-15,0.050000000000000044,0.020000000000000018,5808.841914285714,0.17857142857142871,0.12345679012345653,0.7186858586168895,0.01584404450213599,0.0001759774839736846
2004-01-16,0.010000000000000009,0.03999999999999998,5812.164128571429,0.03571428571428574,0.24691358024691273,0.7190968920830554,0.006341242434594828,0.00020114114442842598
2004-01-20,0.020000000000000018,0.010000000000000009,5825.452985714286,0.07142857142857148,0.06172839506172827,0.7207410259477185,0.003177870484778296,0.00021375174159024462
2004-01-21,0.020000000000000018,0.010000000000000009,5828.7752,0.07142857142857148,0.06172839506172827,0.7211520594138842,0.0031796828016485146,0.00022636953048567524
2004-01-22,0.040000000000000036,0.0,5829.2629,0.14285714285714296,0.0,0.7212123989959247,0.0,0.00022636953048567524
2004-01-23,0.020000000000000018,0.010000000000000009,5829.7506,0.07142857142857148,0.06172839506172827,0.7212727385779653,0.0031802148967282375,0.00023898943086951744
2004-01-27,0.0,0.009999999999999981,5831.7014,0.0,0.0617283950617281,0.7215140969061273,0.0,0.00023898943086951744
2004-01-28,0.010000000000000009,0.04999999999999999,5832.1891,0.03571428571428574,0.308641975308641,0.7215744364881678,0.00795386283606885,0.0002705523786316954
2004-01-29,0.0,0.05000000000000002,5832.2854,0.0,0.3086419753086412,0.7215863509883739,0.0,0.0002705523786316954
2004-01-30,0.030000000000000027,0.009999999999999981,5832.3817,0.10714285714285723,0.0617283950617281,0.72159826548858,0.004772475300850378,0.000289490772682689
2004-02-02,0.020000000000000018,0.03,5832.6705999999995,0.07142857142857148,0.18518518518518462,0.7216340089891982,0.009545423399327997,0.0003273694369657366
2004-02-03,0.030000000000000027,0.020000000000000018,5832.7669,0.10714285714285723,0.12345679012345653,0.7216459234894043,0.00954558099853708,0.000365248726642471
2004-02-04,0.030000000000000027,0.009999999999999981,5832.8632,0.10714285714285723,0.0617283950617281,0.7216578379896104,0.004772869298873065,0.00038418868417768157
2004-02-05,0.020000000000000018,0.0,5835.4664,0.07142857142857148,0.0,0.7219799130356794,0.0,0.00038418868417768157
2004-02-06,0.040000000000000036,0.010000000000000009,5838.0696,0.14285714285714296,0.06172839506172827,0.7223019880817485,0.006369506067740277,0.00040946450190680963
2004-02-09,0.010000000000000009,0.0,5845.8792,0.03571428571428574,0.0,0.7232682132199557,0.0,0.00040946450190680963
2004-02-10,0.010000000000000009,0.009999999999999981,5848.4824,0.03571428571428574,0.0617283950617281,0.7235902882660247,0.0015952166848898187,0.0004157947268468486
2004-02-11,0.010000000000000009,0.010000000000000009,5851.0856,0.03571428571428574,0.06172839506172827,0.7239123633120939,0.0015959267268785115,0.0004221277694138268
2004-02-12,0.030000000000000027,0.0,5865.037214285715,0.10714285714285723,0.0,0.7256384953087938,0.0,0.0004221277694138268
2004-02-13,0.020000000000000018,0.0,5878.988828571429,0.07142857142857148,0.0,0.7273646273054937,0.0,0.0004221277694138268
